,Fecha,Hora,Cuenca,Sub-Cuenca,Estacion,Paso,Precipitaciones (mm),Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi
0,2015-01-01,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,13.4040966,0.153958797
1,2015-01-02,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,10.0,0.0,0.0908732414
2,2015-01-03,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0507071614
3,2015-01-04,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.058016181
4,2015-01-05,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0566482544
5,2015-01-06,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,142.408844,0.0460937619
6,2015-01-07,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,46.0,4.91129541,0.0468045473
7,2015-01-08,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0379934907
8,2015-01-09,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,12.8947916,0.116032362
9,2015-01-10,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,15.0,0.0,0.258243084
10,2015-01-11,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,1.35597277,0.175952911
11,2015-01-12,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0674843788
12,2015-01-13,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,74.0335922,0.0790983438
13,2015-01-14,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,40.0,0.0,0.237107277
14,2015-01-15,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,1.07674599
15,2015-01-16,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,1.76124573
16,2015-01-17,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,14.0,3.04564834,0.689435005
17,2015-01-18,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.616707146,3.12681198
18,2015-01-19,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,6.08460379,6.54373169
19,2015-01-20,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,43.0,0.0,1.45096779
20,2015-01-21,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.000135367736
21,2015-01-22,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,4.73839717e-12
