,Fecha,Hora,Cuenca,Sub-Cuenca,Estacion,Paso,Precipitaciones (mm),Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi
0,2015-04-01,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.00146180391
1,2015-04-02,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.00246511772
2,2015-04-03,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.00142450444
3,2015-04-04,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.000533089042
4,2015-04-05,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.015949741,0.00128704123
5,2015-04-06,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,9.51804395e-06
6,2015-04-07,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,6.78672222e-05
7,2015-04-08,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,1.33095455e-05
8,2015-04-09,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,1.39021722e-05
9,2015-04-10,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.000439630821
10,2015-04-11,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,4.3550601,0.000569969416
11,2015-04-12,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,3.66315362e-05
12,2015-04-13,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.000593648292
13,2015-04-14,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.00430662185
14,2015-04-15,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.00232232735,0.00928714871
15,2015-04-16,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0769675523,0.00183815137
16,2015-04-17,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,14.5990219,5.95363758e-09
17,2015-04-18,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.0
18,2015-04-19,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.0
19,2015-04-20,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.0
20,2015-04-21,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,4.09677655e-26
21,2015-04-22,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,2.41445048e-14
22,2015-04-23,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,9.11670739e-10
23,2015-04-24,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,2.03337347e-11
24,2015-04-25,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,1.2132049600000001e-23
25,2015-04-26,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,3.9747230000000003e-23
26,2015-04-27,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,6.588566280000001e-23
27,2015-04-28,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,2.13749018e-09
28,2015-04-29,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.51,4.3381319,4.42910688e-23
29,2015-04-30,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.51,0.858229339,2.32360557e-23
30,2015-05-01,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.51,0.00220801006,2.28952678e-23
31,2015-05-02,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.51,21.7896099,4.2178183800000004e-23
32,2015-05-03,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.52,0.0,1.47174939e-22
33,2015-05-04,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.52,0.0,1.93667802e-06
34,2015-05-05,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.52,0.0,2.42698661e-06
35,2015-05-06,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,1.36134304e-07
36,2015-05-07,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,3.82839867e-19
37,2015-05-08,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,6.85816631e-05,2.2184984e-18
38,2015-05-09,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.000426474086,3.46142315e-07
39,2015-05-10,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,4.62437248,0.00183312222
40,2015-05-11,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.0115770847
41,2015-05-12,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.0142760575
42,2015-05-13,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0210662019,0.0299602747
43,2015-05-14,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.116783381
44,2015-05-15,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0824526399,0.288069248
45,2015-05-16,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.387632847
46,2015-05-17,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.467562675
47,2015-05-18,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.432908535
48,2015-05-19,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.527429581
49,2015-05-20,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.54974556
50,2015-05-21,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,,0.0,0.358772278
51,2015-05-22,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.04,0.00021541561,0.470352173
52,2015-05-23,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.96,10.8432693,0.30298233
53,2015-05-24,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.07,0.0,0.151491165
54,2015-05-25,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.17,0.065265432,0.141352415
55,2015-05-26,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.21,1.04962957,0.14333725
56,2015-05-27,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.27,13.9490118,0.103077292
57,2015-05-28,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.32,0.0,0.11946559
58,2015-05-29,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.28,0.0,0.106886029
59,2015-05-30,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.25,0.126294136,0.099375844
60,2015-05-31,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.25,0.0,0.141245127
61,2015-06-01,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.29,0.197230056,0.199395418
62,2015-06-02,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.26,0.392835438,0.315535069
63,2015-06-03,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.18,0.0,0.334203243
64,2015-06-04,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.24,1.82701802,0.318753719
65,2015-06-05,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.14,1.98209369,0.293648243
66,2015-06-06,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.01,1.24283147,0.296759605
67,2015-06-07,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.06,0.0,0.0992149115
68,2015-06-08,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.12,0.0,0.0302553177
69,2015-06-09,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.08,0.000370658498,0.0165559351
70,2015-06-10,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.09,2.88499928,0.00352375209
71,2015-06-11,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.2,0.0355871469,0.000735931098
72,2015-06-12,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.3,0.0,0.00173673034
73,2015-06-13,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.27,1.34896803,0.00260677189
74,2015-06-14,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.2,0.730607212,0.00215917826
75,2015-06-15,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.27,0.0186961759,4.92567779e-05
76,2015-06-16,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.28,0.0,1.04511855e-05
77,2015-06-17,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.28,0.0317331478,1.04708306e-05
78,2015-06-18,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.36,0.0,1.48320396e-05
79,2015-06-19,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.45,0.150340766,0.00199405476
80,2015-06-20,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.35,0.0,0.00479444861
81,2015-06-21,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.33,0.0221595969,0.00562258065
82,2015-06-22,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.29,0.196881399,0.00837184489
83,2015-06-23,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.4,0.0147222299,0.00548679382
84,2015-06-24,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.4,0.00765735051,0.00203093514
85,2015-06-25,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.31,0.0188604072,0.000515487045
86,2015-06-26,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,1.04,0.00469556823,0.000874651596
87,2015-06-27,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.99,0.0825037956,0.000993255526
88,2015-06-28,700,Central Constitución,Río Yí,Sarandí del Yí,Sarandí del Yí,0.89,0.0,3.62615538e-06
